DATE;VOLUME
01/06/2022;44003.56
02/06/2022;48991.85
03/06/2022;51690.92
04/06/2022;47790.83
05/06/2022;42896.64
06/06/2022;51461.84
07/06/2022;53518.13
08/06/2022;52191.95
09/06/2022;55344.33
10/06/2022;54830.22
11/06/2022;48761.54
12/06/2022;43671.37
13/06/2022;49982.76
14/06/2022;52460.31
15/06/2022;50560
16/06/2022;51258.77
17/06/2022;57170.97
18/06/2022;46558.4
19/06/2022;40921.28
20/06/2022;49039.11
21/06/2022;50201.83
22/06/2022;49846.5
23/06/2022;49921.88
24/06/2022;49932.69
25/06/2022;45223.99
26/06/2022;40716.43
27/06/2022;46918.74
28/06/2022;50555.16
29/06/2022;49532.57
30/06/2022;47918.36
01/07/2022;48264.78
02/07/2022;44096.39
03/07/2022;40904.25
04/07/2022;47423.74
05/07/2022;49830.26
06/07/2022;49214.89
07/07/2022;50012.79
08/07/2022;46741.77
09/07/2022;39539.49
10/07/2022;49615.95
11/07/2022;48068.41
12/07/2022;52183.12
13/07/2022;52694.07
14/07/2022;51000.16
15/07/2022;49631.5
16/07/2022;46094.36
17/07/2022;40984.21
18/07/2022;48157.51
19/07/2022;49511.63
20/07/2022;48923.15
21/07/2022;49293.29
22/07/2022;48478.58
23/07/2022;45598.9
24/07/2022;39663.02
25/07/2022;49140.1
26/07/2022;54331.91
27/07/2022;53980.48
28/07/2022;52342.86
29/07/2022;51451.43
30/07/2022;44126.73
31/07/2022;41843.23
01/08/2022;48815.77
02/08/2022;51196.16
03/08/2022;50962.43
04/08/2022;53560.63
05/08/2022;53173.52
06/08/2022;48543.23
07/08/2022;43655.74
08/08/2022;50025.89
09/08/2022;53099.99
10/08/2022;51938.43
11/08/2022;53580.24
12/08/2022;52342.05
13/08/2022;48515.46
14/08/2022;44265.85
15/08/2022;51374.46
16/08/2022;51608.38
17/08/2022;40725.55
18/08/2022;48710.89
19/08/2022;50705.68
20/08/2022;47441.94
21/08/2022;42298.45
22/08/2022;49786.75
23/08/2022;50588.38
24/08/2022;52025
25/08/2022;48817.81
26/08/2022;50140.75
27/08/2022;44838.77
28/08/2022;40700.68
29/08/2022;45821.73
30/08/2022;47219.67
31/08/2022;47528.72
01/09/2022;47666.44
02/09/2022;46676.07
03/09/2022;43139.54
04/09/2022;38897.26
05/09/2022;47056.28
06/09/2022;49347.6
07/09/2022;50029.88
08/09/2022;50011.28
09/09/2022;48724.84
10/09/2022;46302.87
11/09/2022;41510.5
12/09/2022;47966.16
13/09/2022;49903.53
14/09/2022;49009.91
15/09/2022;50135.99
16/09/2022;49685.3
17/09/2022;45276.42
18/09/2022;39941.02
19/09/2022;47170.31
20/09/2022;49778.65
21/09/2022;51189.41
22/09/2022;51927.26
23/09/2022;49914.64
24/09/2022;44884.15
25/09/2022;39855.25
26/09/2022;47599.49
27/09/2022;48635.27
28/09/2022;49615.95
29/09/2022;48341.75
30/09/2022;44043.26
01/10/2022;41248.14
02/10/2022;37773.58
03/10/2022;46005.18
04/10/2022;48534.47
05/10/2022;48999.3
