DATE;DAY;HOLIDAY;HOLIDAY_NAME;VOLUME
01/06/2022;Wednesday;1; Hari Lahir Pancasila ;44003.56
02/06/2022;Thursday;0; na ;48991.85
03/06/2022;Friday;0; na ;51690.92
04/06/2022;Saturday;0; na ;47790.83
05/06/2022;Sunday;0; na ;42896.64
06/06/2022;Monday;0; na ;51461.84
07/06/2022;Tuesday;0; na ;53518.13
08/06/2022;Wednesday;0; na ;52191.95
09/06/2022;Thursday;0; na ;55344.33
10/06/2022;Friday;0; na ;54830.22
11/06/2022;Saturday;0; na ;48761.54
12/06/2022;Sunday;0; na ;43671.37
13/06/2022;Monday;0; na ;49982.76
14/06/2022;Tuesday;0; na ;52460.31
15/06/2022;Wednesday;0; na ;50560
16/06/2022;Thursday;0; na ;51258.77
17/06/2022;Friday;0; na ;57170.97
18/06/2022;Saturday;0; na ;46558.4
19/06/2022;Sunday;0; na ;40921.28
20/06/2022;Monday;0; na ;49039.11
21/06/2022;Tuesday;0; na ;50201.83
22/06/2022;Wednesday;0; na ;49846.5
23/06/2022;Thursday;0; na ;49921.88
24/06/2022;Friday;0; na ;49932.69
25/06/2022;Saturday;0; na ;45223.99
26/06/2022;Sunday;0; na ;40716.43
27/06/2022;Monday;0; na ;46918.74
28/06/2022;Tuesday;0; na ;50555.16
29/06/2022;Wednesday;0; na ;49532.57
30/06/2022;Thursday;0; na ;47918.36
01/07/2022;Friday;0; na ;48264.78
02/07/2022;Saturday;0; na ;44096.39
03/07/2022;Sunday;0; na ;40904.25
04/07/2022;Monday;0; na ;47423.74
05/07/2022;Tuesday;0; na ;49830.26
06/07/2022;Wednesday;0; na ;49214.89
07/07/2022;Thursday;0; na ;50012.79
08/07/2022;Friday;0; na ;46741.77
09/07/2022;Saturday;1; Idul Adha ;39539.49
10/07/2022;Sunday;0; na ;33154.57
11/07/2022;Monday;0; na ;48068.41
12/07/2022;Tuesday;0; na ;52183.12
13/07/2022;Wednesday;0; na ;52694.07
14/07/2022;Thursday;0; na ;51000.16
15/07/2022;Friday;0; na ;49631.5
16/07/2022;Saturday;0; na ;46094.36
17/07/2022;Sunday;0; na ;40984.21
18/07/2022;Monday;0; na ;48157.51
19/07/2022;Tuesday;0; na ;49511.63
20/07/2022;Wednesday;0; na ;48923.15
21/07/2022;Thursday;0; na ;49293.29
22/07/2022;Friday;0; na ;48478.58
23/07/2022;Saturday;0; na ;45598.9
24/07/2022;Sunday;0; na ;39663.02
25/07/2022;Monday;0; na ;49140.1
26/07/2022;Tuesday;0; na ;54331.91
27/07/2022;Wednesday;0; na ;53980.48
28/07/2022;Thursday;0; na ;52342.86
29/07/2022;Friday;0; na ;51451.43
30/07/2022;Saturday;1; Tahun Baru Islam ;44126.73
31/07/2022;Sunday;0; na ;41843.23
01/08/2022;Monday;0; na ;48815.77
02/08/2022;Tuesday;0; na ;51196.16
03/08/2022;Wednesday;0; na ;50962.43
04/08/2022;Thursday;0; na ;53560.63
05/08/2022;Friday;0; na ;53173.52
06/08/2022;Saturday;0; na ;48543.23
07/08/2022;Sunday;0; na ;43655.74
08/08/2022;Monday;0; na ;50025.89
09/08/2022;Tuesday;0; na ;53099.99
10/08/2022;Wednesday;0; na ;51938.43
11/08/2022;Thursday;0; na ;53580.24
12/08/2022;Friday;0; na ;52342.05
13/08/2022;Saturday;0; na ;48515.46
14/08/2022;Sunday;0; na ;44265.85
15/08/2022;Monday;0; na ;51374.46
16/08/2022;Tuesday;0; na ;51608.38
17/08/2022;Wednesday;1; Hari Kemerdekaan ;40725.55
18/08/2022;Thursday;0; na ;48710.89
19/08/2022;Friday;0; na ;50705.68
20/08/2022;Saturday;0; na ;47441.94
21/08/2022;Sunday;0; na ;42298.45
22/08/2022;Monday;0; na ;49786.75
23/08/2022;Tuesday;0; na ;50588.38
24/08/2022;Wednesday;0; na ;52025
25/08/2022;Thursday;0; na ;48817.81
26/08/2022;Friday;0; na ;50140.75
27/08/2022;Saturday;0; na ;44838.77
28/08/2022;Sunday;0; na ;40700.68
29/08/2022;Monday;0; na ;45821.73
30/08/2022;Tuesday;0; na ;47219.67
31/08/2022;Wednesday;0; na ;47528.72
01/09/2022;Thursday;0; na ;47666.44
02/09/2022;Friday;0; na ;46676.07
03/09/2022;Saturday;0; na ;43139.54
04/09/2022;Sunday;0; na ;38897.26
05/09/2022;Monday;0; na ;47056.28
06/09/2022;Tuesday;0; na ;49347.6
07/09/2022;Wednesday;0; na ;50029.88
08/09/2022;Thursday;0; na ;50011.28
09/09/2022;Friday;0; na ;48724.84
10/09/2022;Saturday;0; na ;46302.87
11/09/2022;Sunday;0; na ;41510.5
12/09/2022;Monday;0; na ;47966.16
13/09/2022;Tuesday;0; na ;49903.53
14/09/2022;Wednesday;0; na ;49009.91
15/09/2022;Thursday;0; na ;50135.99
16/09/2022;Friday;0; na ;49685.3
17/09/2022;Saturday;0; na ;45276.42
18/09/2022;Sunday;0; na ;39941.02
19/09/2022;Monday;0; na ;47170.31
20/09/2022;Tuesday;0; na ;49778.65
21/09/2022;Wednesday;0; na ;51189.41
22/09/2022;Thursday;0; na ;51927.26
23/09/2022;Friday;0; na ;49914.64
24/09/2022;Saturday;0; na ;44884.15
25/09/2022;Sunday;0; na ;39855.25
26/09/2022;Monday;0; na ;47599.49
27/09/2022;Tuesday;0; na ;48635.27
28/09/2022;Wednesday;0; na ;49615.95
29/09/2022;Thursday;0; na ;48341.75
30/09/2022;Friday;0; na ;44043.26
01/10/2022;Saturday;0; na ;41248.14
02/10/2022;Sunday;0; na ;37773.58
03/10/2022;Monday;0; na ;46005.18
04/10/2022;Tuesday;0; na ;48534.47
05/10/2022;Wednesday;0; na ;48999.3
06/10/2022;Thursday;0; na ;48589.64
07/10/2022;Friday;0; na ;48335.82
08/10/2022;Saturday;1; Maulid Nabi ;39539.75
09/10/2022;Sunday;0; na ;38733.68
10/10/2022;Monday;0; na ;47391.5
11/10/2022;Tuesday;0; na ;50744.81
12/10/2022;Wednesday;0; na ;50291.33
13/10/2022;Thursday;0; na ;50322.73
14/10/2022;Friday;0; na ;49815.98
15/10/2022;Saturday;0; na ;48033.78
16/10/2022;Sunday;0; na ;44086.19
17/10/2022;Monday;0; na ;50946.63
18/10/2022;Tuesday;0; na ;52503.88
19/10/2022;Wednesday;0; na ;53404.08
20/10/2022;Thursday;0; na ;53760.02
21/10/2022;Friday;0; na ;53991.14
22/10/2022;Saturday;0; na ;48474.92
23/10/2022;Sunday;0; na ;43103.5
24/10/2022;Monday;0; na ;50384.21
25/10/2022;Tuesday;0; na ;55834.66
26/10/2022;Wednesday;0; na ;55413.91
27/10/2022;Thursday;0; na ;52103.99
28/10/2022;Friday;0; na ;55055.1
29/10/2022;Saturday;0; na ;47119.25
30/10/2022;Sunday;0; na ;41687.33
31/10/2022;Monday;0; na ;47995.3
01/11/2022;Tuesday;0; na ;48750.97
02/11/2022;Wednesday;0; na ;51253.38
03/11/2022;Thursday;0; na ;52366.79
04/11/2022;Friday;0; na ;52240.07
05/11/2022;Saturday;0; na ;48049.76
06/11/2022;Sunday;0; na ;42347.43
07/11/2022;Monday;0; na ;49691.79
08/11/2022;Tuesday;0; na ;52039.7
09/11/2022;Wednesday;0; na ;50795.25
10/11/2022;Thursday;0; na ;52579.26
11/11/2022;Friday;0; na ;57999.92
12/11/2022;Saturday;0; na ;48072.04
13/11/2022;Sunday;0; na ;44033.89
14/11/2022;Monday;0; na ;49294.2
15/11/2022;Tuesday;0; na ;54026.16
16/11/2022;Wednesday;0; na ;53598.35
17/11/2022;Thursday;0; na ;53274.63
18/11/2022;Friday;0; na ;54416.69
19/11/2022;Saturday;0; na ;48202.39
20/11/2022;Sunday;0; na ;42444.54
21/11/2022;Monday;0; na ;49310.69
22/11/2022;Tuesday;0; na ;51923.16
23/11/2022;Wednesday;0; na ;53134.7
24/11/2022;Thursday;0; na ;52385.2
25/11/2022;Friday;0; na ;52704.23
26/11/2022;Saturday;0; na ;48444.97
27/11/2022;Sunday;0; na ;46325.12
28/11/2022;Monday;0; na ;52680.84
29/11/2022;Tuesday;0; na ;54061.9
