DATE;VOLUME
01/04/2022;194,8749
02/04/2022;196,0638
03/04/2022;181,961
04/04/2022;201,2961
05/04/2022;200,1924
06/04/2022;203,1049
07/04/2022;196,4432
08/04/2022;195,9708
09/04/2022;193,8057
10/04/2022;173,6026
11/04/2022;182,1914
12/04/2022;193,9386
13/04/2022;190,5946
14/04/2022;196,8785
15/04/2022;186,952
16/04/2022;194,1598
17/04/2022;177,5203
18/04/2022;193,2436
19/04/2022;213,1649
20/04/2022;215,5465
21/04/2022;204,9958
22/04/2022;193,3346
23/04/2022;187,7011
24/04/2022;183,0386
25/04/2022;195,1244
26/04/2022;194,9896
27/04/2022;187,5904
28/04/2022;156,5748
29/04/2022;135,8811
30/04/2022;91,4421
01/05/2022;82,6304
02/05/2022;74,293
03/05/2022;72,1455
04/05/2022;79,1772
05/05/2022;93,0262
06/05/2022;94,961
07/05/2022;101,3053
08/05/2022;104,4032
09/05/2022;132,9597
10/05/2022;149,6593
11/05/2022;148,7149
12/05/2022;171,1420806
13/05/2022;197,0523
14/05/2022;197,3587
15/05/2022;181,8262
16/05/2022;165,3971
17/05/2022;180,147
18/05/2022;178,5842
19/05/2022;179,7125
20/05/2022;176,6877
21/05/2022;174,2023
22/05/2022;165,2827
23/05/2022;192,5825
24/05/2022;194,514
25/05/2022;197,8307
26/05/2022;194,3746
27/05/2022;198,8681
28/05/2022;190,0974
29/05/2022;167,6318
30/05/2022;204,4483
31/05/2022;211,3875
01/06/2022;175,554
02/06/2022;187,0786
03/06/2022;174,119
04/06/2022;129,9523
05/06/2022;113,682
06/06/2022;132,592
07/06/2022;161,4172
08/06/2022;179,4761
09/06/2022;185,8834
10/06/2022;187,5243
11/06/2022;177,855
12/06/2022;160,4354
13/06/2022;192,4195
14/06/2022;199,584
15/06/2022;199,0581
16/06/2022;200,3259
17/06/2022;207,5688
18/06/2022;198,0668
19/06/2022;178,458
20/06/2022;188,8491
21/06/2022;198,4871
22/06/2022;194,0339
23/06/2022;192,2171
24/06/2022;187,2043
25/06/2022;181,6249
26/06/2022;170,2532
27/06/2022;184,9446
28/06/2022;193,4319
29/06/2022;192,0693
30/06/2022;194,6532
01/07/2022;170,2612
02/07/2022;157,0466
03/07/2022;146,111
04/07/2022;164,7398
05/07/2022;174,1999
06/07/2022;183,141
07/07/2022;180,0148
08/07/2022;185,9055
09/07/2022;156,6446
10/07/2022;147,3307
11/07/2022;173,2742
12/07/2022;186,9838
13/07/2022;205,3612
14/07/2022;192,2258
15/07/2022;188,7732
16/07/2022;184,551
17/07/2022;166,7504
18/07/2022;190,2644
19/07/2022;190,7376
20/07/2022;185,334
21/07/2022;186,0088
