,0
2023-06-01,8.118421991272526e+18
2023-06-02,9.92170394888534e+18
2023-06-03,6.627798722772337e+18
2023-06-04,2.6899112463747886e+18
2023-06-05,9.461460518612535e+18
2023-06-06,1.2467363138840254e+19
2023-06-07,1.1907537331037549e+19
2023-06-08,1.1646039991574675e+19
2023-06-09,1.279480991538083e+19
2023-06-10,9.005502925233693e+18
2023-06-11,4.671099043105006e+18
2023-06-12,1.1026098172809425e+19
2023-06-13,1.3712426346182607e+19
2023-06-14,1.291703077705196e+19
2023-06-15,1.2459921799349518e+19
2023-06-16,1.3435447654263532e+19
2023-06-17,9.546314309417886e+18
2023-06-18,5.140754588552007e+18
2023-06-19,1.134770941282e+19
2023-06-20,1.3935168096249594e+19
2023-06-21,1.3085541400193858e+19
2023-06-22,1.2582033725651042e+19
2023-06-23,1.3507191767843609e+19
2023-06-24,9.618943462300314e+18
2023-06-25,5.224989389975689e+18
2023-06-26,1.1352799499040717e+19
2023-06-27,1.3897869078620647e+19
2023-06-28,1.3040236009939888e+19
2023-06-29,1.2528377208255318e+19
2023-06-30,1.3434581152063326e+19
2023-07-01,9.572681759415556e+18
