DATE;VOLUME
01/04/2023;589855910429,37
02/04/2023;1393839616405,13
03/04/2023;674140480179,59
04/04/2023;1136429499717,85
05/04/2023;1112962691679,53
06/04/2023;1108113637285,12
07/04/2023;971209648784,67
08/04/2023;1046534381065,69
09/04/2023;1076718988274,44
10/04/2023;946501905390,83
11/04/2023;1092376565256,02
12/04/2023;1193356587578,26
13/04/2023;629857026584,66
14/04/2023;1302087843236,17
15/04/2023;1388623926456,47
16/04/2023;178331051500,07
17/04/2023;1033456940191,73
18/04/2023;679292490513,44
19/04/2023;638872785681,66
20/04/2023;441089854795,33
21/04/2023;162622902309,62
22/04/2023;164873041843,39
23/04/2023;295238327417,72
24/04/2023;416658095148,99
25/04/2023;398108042767,99
26/04/2023;253028530847,72
27/04/2023;661891234359,74
28/04/2023;587504573677,74
29/04/2023;809615019023,45
30/04/2023;352032615055,03
