DATE,FORECAST,ACTUAL
2022-06-01,44013.83694155301,44003.56
2022-06-02,49179.13529241657,48991.85
2022-06-03,50073.138448446785,51690.92
2022-06-04,46611.33922476847,47790.83
2022-06-05,42546.2030432283,42896.64
2022-06-06,48570.20605789218,51461.84
2022-06-07,50342.63488841477,53518.13
2022-06-08,50238.73732818514,52191.95
2022-06-09,50254.080223859135,55344.33
2022-06-10,50115.59991507824,54830.22
2022-06-11,46653.80069140153,48761.54
2022-06-12,42588.664509870345,43671.37
2022-06-13,48612.6675245359,49982.76
2022-06-14,50385.0963550505,52460.31
2022-06-15,50281.19879482863,50560.0
2022-06-16,50296.541690501705,51258.77
2022-06-17,50158.06138075202,57170.97
2022-06-18,46696.26215610063,46558.4
2022-06-19,42631.12597359874,40921.28
2022-06-20,48655.12898730396,49039.11
2022-06-21,50427.557816851055,50201.83
2022-06-22,50323.660255652176,49846.5
2022-06-23,50339.00315035559,49921.88
2022-06-24,50200.522840606696,49932.69
2022-06-25,46738.723615973024,45223.99
2022-06-26,42673.58743345837,40716.43
2022-06-27,48697.59044716528,46918.74
2022-06-28,50470.01927670586,50555.16
2022-06-29,50366.121715513276,49532.57
2022-06-30,50381.46461020948,47918.36
2022-07-01,50242.9843006263,48264.78
2022-07-02,46781.185076161295,44096.39
2022-07-03,42716.04889381014,40904.25
2022-07-04,48740.05190768779,47423.74
2022-07-05,50512.4807373893,49830.26
2022-07-06,50408.58317636397,49214.89
2022-07-07,50423.926071217895,50012.79
2022-07-08,50285.44576163551,46741.77
2022-07-09,39317.134057170355,39539.49
2022-07-10,32653.69823002431,33154.57
2022-07-11,48782.513368681306,48068.41
2022-07-12,50554.9421984026,52183.12
2022-07-13,50451.04463736823,52694.07
2022-07-14,50466.38753223887,51000.16
2022-07-15,50327.90722265034,49631.5
2022-07-16,46866.108001548986,46094.36
2022-07-17,42800.97182253416,40984.21
2022-07-18,48824.97483974213,48157.51
2022-07-19,50597.403672805754,49511.63
2022-07-20,50493.50611512303,48923.15
2022-07-21,50508.84901333431,49293.29
2022-07-22,50370.36870710344,48478.58
2022-07-23,46908.56948598902,45598.9
2022-07-24,42843.4333069805,39663.02
2022-07-25,48867.43632419136,49140.1
2022-07-26,50639.8651572539,54331.91
2022-07-27,50535.96759957273,53980.48
2022-07-28,50551.31049777756,52342.86
2022-07-29,50412.83019155312,51451.43
2022-07-30,44067.16642603026,44126.73
2022-07-31,41660.98126118415,41843.23
2022-08-01,48909.897807435475,48815.77
2022-08-02,50682.32664009132,51196.16
2022-08-03,50578.429082009796,50962.43
2022-08-04,50593.7719798173,53560.63
2022-08-05,50455.29167316713,53173.52
2022-08-06,46993.49245165539,48543.23
2022-08-07,42928.356272247496,43655.74
2022-08-08,48952.35928906885,50025.89
2022-08-09,50724.78812171672,53099.99
2022-08-10,50620.89056363581,51938.43
2022-08-11,50636.233461441785,53580.24
2022-08-12,50497.75315480708,52342.05
2022-08-13,47035.95393328052,48515.46
2022-08-14,42970.817754295735,44265.85
2022-08-15,48994.820771535306,51374.46
2022-08-16,50767.24960460405,51608.38
2022-08-17,40523.3292645338,40725.55
2022-08-18,48801.990408036254,48710.89
2022-08-19,50540.21463894032,50705.68
2022-08-20,47078.41541782775,47441.94
2022-08-21,43013.279238850606,42298.45
2022-08-22,49037.282256072314,49786.75
2022-08-23,50809.71108915393,50588.38
2022-08-24,50705.81353148578,52025.0
2022-08-25,50721.1564297067,48817.81
2022-08-26,50582.67612349719,50140.75
2022-08-27,47120.876902382726,44838.77
2022-08-28,43056.370442784675,40700.68
2022-08-29,49081.00317938716,45821.73
2022-08-30,50854.06173184689,47219.67
2022-08-31,50750.79389356029,47528.72
