DATE,FORECAST
2023-06-01,50408.81901567064
2023-06-02,50248.70951997721
2023-06-03,46765.28110940349
2023-06-04,42678.5157409325
2023-06-05,48680.88956868299
2023-06-06,50431.689212274534
2023-06-07,50306.16246513056
2023-06-08,50299.87617388318
2023-06-09,50139.76667817797
2023-06-10,46656.338267600244
2023-06-11,42569.57289913132
2023-06-12,48571.94672689186
2023-06-13,50322.74637047939
2023-06-14,50197.219623332065
2023-06-15,50190.93333208314
2023-06-16,50030.82383638777
2023-06-17,46547.395425796996
2023-06-18,42460.630057335715
2023-06-19,48463.00388509781
2023-06-20,50213.80352868425
2023-06-21,50088.27678153925
2023-06-22,50081.990490283126
2023-06-23,49921.88099459417
2023-06-24,46438.45258399761
2023-06-25,42351.68721554011
2023-06-26,48354.06104328288
2023-06-27,50104.86068688762
2023-06-28,49979.333939746444
2023-06-29,49973.04764848939
2023-06-30,49812.93815278929
