No.;DATE;VOLUME (MSCF)
1;01/06/2023;42850,31
2;02/06/2023;44937,64
3;03/06/2023;40837,90
4;04/06/2023;32976,24
5;05/06/2023;44434,37
6;06/06/2023;47438,34
7;07/06/2023;46924,36
8;08/06/2023;46677,94
9;09/06/2023;47730,85
10;10/06/2023;43917,01
11;11/06/2023;37586,64
12;12/06/2023;46076,41
13;13/06/2023;48521,23
14;14/06/2023;47838,57
15;15/06/2023;47431,62
16;16/06/2023;48287,02
17;17/06/2023;44528,54
18;18/06/2023;38450,27
19;19/06/2023;46391,60
20;20/06/2023;48706,97
21;21/06/2023;47985,82
22;22/06/2023;47541,43
23;23/06/2023;48348,04
24;24/06/2023;44608,63
25;25/06/2023;38598,74
26;26/06/2023;46396,53
27;27/06/2023;48676,02
28;28/06/2023;47946,38
29;29/06/2023;47493,28
30;30/06/2023;48286,28
31;01/07/2023;44557,67
32;02/07/2023;38574,53
33;03/07/2023;46323,68
34;04/07/2023;48590,40
35;05/07/2023;47859,75
36;06/07/2023;47405,16
37;07/07/2023;48193,42
38;08/07/2023;44473,51
39;09/07/2023;38506,76
40;10/07/2023;46231,11
41;11/07/2023;48490,94
42;12/07/2023;47761,20
43;13/07/2023;47306,95
44;14/07/2023;48092,74
45;15/07/2023;44381,00
46;16/07/2023;38427,96
47;17/07/2023;46133,64
48;18/07/2023;48388,10
49;19/07/2023;47659,76
50;20/07/2023;47206,32
51;21/07/2023;47990,22
52;22/07/2023;44286,50
53;23/07/2023;38346,47
54;24/07/2023;46035,06
55;25/07/2023;48284,55
56;26/07/2023;47557,73
57;27/07/2023;47105,23
58;28/07/2023;47887,39
59;29/07/2023;44191,63
60;30/07/2023;38264,41
61;31/07/2023;45936,37
62;01/08/2023;48181,00
63;02/08/2023;47455,72
64;03/08/2023;47004,18
65;04/08/2023;47784,65
66;05/08/2023;44096,82
67;06/08/2023;38182,35
68;07/08/2023;45837,80
69;08/08/2023;48077,60
70;09/08/2023;47353,88
71;10/08/2023;46903,30
72;11/08/2023;47682,09
73;12/08/2023;44002,18
74;13/08/2023;38100,41
75;14/08/2023;45739,41
76;15/08/2023;47974,40
77;16/08/2023;47252,24
78;17/08/2023;46802,62
79;18/08/2023;47579,75
80;19/08/2023;43907,74
81;20/08/2023;38018,63
82;21/08/2023;45641,24
83;22/08/2023;47871,43
84;23/08/2023;47150,81
85;24/08/2023;46702,16
86;25/08/2023;47477,62
87;26/08/2023;43813,49
88;27/08/2023;37937,02
89;28/08/2023;45543,27
90;29/08/2023;47768,68
