,0
2023-06-01,8.118421991272526e+18
2023-06-02,9.92170394888534e+18
2023-06-03,6.627798722772337e+18
2023-06-04,2.6899112463747886e+18
2023-06-05,9.461460518612535e+18
2023-06-06,1.2467363138840254e+19
2023-06-07,1.1907537331037549e+19
2023-06-08,1.1646039991574675e+19
2023-06-09,1.279480991538083e+19
2023-06-10,9.005502925233693e+18
2023-06-11,4.671099043105006e+18
2023-06-12,1.1026098172809425e+19
2023-06-13,1.3712426346182607e+19
2023-06-14,1.291703077705196e+19
2023-06-15,1.2459921799349518e+19
2023-06-16,1.3435447654263532e+19
2023-06-17,9.546314309417886e+18
2023-06-18,5.140754588552007e+18
2023-06-19,1.134770941282e+19
2023-06-20,1.3935168096249594e+19
2023-06-21,1.3085541400193858e+19
2023-06-22,1.2582033725651042e+19
2023-06-23,1.3507191767843609e+19
2023-06-24,9.618943462300314e+18
2023-06-25,5.224989389975689e+18
2023-06-26,1.1352799499040717e+19
2023-06-27,1.3897869078620647e+19
2023-06-28,1.3040236009939888e+19
2023-06-29,1.2528377208255318e+19
2023-06-30,1.3434581152063326e+19
2023-07-01,9.572681759415556e+18
2023-07-02,5.211185662475441e+18
2023-07-03,1.1277807472450497e+19
2023-07-04,1.3795056598385033e+19
2023-07-05,1.2941161150207023e+19
2023-07-06,1.24306295283434e+19
2023-07-07,1.3325951225946907e+19
2023-07-08,9.496663498735307e+18
2023-07-09,5.172680827024254e+18
2023-07-10,1.1183066622597042e+19
2023-07-11,1.3676366618551734e+19
2023-07-12,1.2829153723061211e+19
2023-07-13,1.232238799876449e+19
2023-07-14,1.320894193191928e+19
2023-07-15,9.41363059724408e+18
2023-07-16,5.128187817248852e+18
2023-07-17,1.1083967875736023e+19
2023-07-18,1.3554458709830394e+19
2023-07-19,1.2714628237724494e+19
2023-07-20,1.2212219857485488e+19
2023-07-21,1.3090599687198558e+19
2023-07-22,9.329381596387693e+18
2023-07-23,5.082479351545348e+18
2023-07-24,1.0984432863802687e+19
2023-07-25,1.34325560873868e+19
2023-07-26,1.2600235432927896e+19
2023-07-27,1.2102304696092256e+19
2023-07-28,1.2972715480382986e+19
2023-07-29,9.245391112991386e+18
2023-07-30,5.036770612697269e+18
2023-07-31,1.0885456295214141e+19
2023-08-01,1.3311473863893295e+19
2023-08-02,1.2486644786612546e+19
2023-08-03,1.1993192031550763e+19
2023-08-04,1.2855739173313542e+19
2023-08-05,9.162030339336955e+18
2023-08-06,4.991368921163203e+18
2023-08-07,1.0787285978653295e+19
2023-08-08,1.3191412668355768e+19
2023-08-09,1.2374020219450413e+19
2023-08-10,1.18850154442377e+19
2023-08-11,1.2739778435475622e+19
2023-08-12,9.079388918604503e+18
2023-08-13,4.946349934961565e+18
2023-08-14,1.0689979167514841e+19
2023-08-15,1.3072416379394871e+19
2023-08-16,1.2262396695758068e+19
2023-08-17,1.177780242701901e+19
2023-08-18,1.2624853672788589e+19
2023-08-19,8.997484688150479e+18
2023-08-20,4.901730216544658e+18
2023-08-21,1.0593544539249207e+19
2023-08-22,1.2954488938781207e+19
2023-08-23,1.2151776331982041e+19
2023-08-24,1.1671553458601245e+19
2023-08-25,1.2510963085188049e+19
2023-08-26,8.916317205854735e+18
2023-08-27,4.857511271866854e+18
2023-08-28,1.0497978428190927e+19
2023-08-29,1.283762416180754e+19
